t,u,v
19.8,-1.79925,0.579526
19.9,-1.79362,0.567108
20,-1.788,0.554814
20.1,-1.78238,0.542643
20.2,-1.77677,0.530594
20.3,-1.77116,0.518668
20.4,-1.76556,0.506861
20.5,-1.75996,0.495175
20.6,-1.75436,0.483608
20.7,-1.74877,0.47216
20.8,-1.74319,0.460829
20.9,-1.73761,0.449614
21,-1.73203,0.438516
21.1,-1.72646,0.427533
21.2,-1.7209,0.416665
21.3,-1.71533,0.40591
21.4,-1.70977,0.395268
21.5,-1.70422,0.384738
21.6,-1.69867,0.37432
21.7,-1.69312,0.364012
21.8,-1.68758,0.353815
21.9,-1.68204,0.343726
22,-1.67651,0.333746
22.1,-1.67098,0.323874
22.2,-1.66545,0.314109
22.3,-1.65992,0.30445
22.4,-1.6544,0.294897
22.5,-1.64888,0.285449
22.6,-1.64337,0.276105
22.7,-1.63786,0.266865
22.8,-1.63235,0.257727
22.9,-1.62684,0.248692
23,-1.62134,0.239758
23.1,-1.61584,0.230925
23.2,-1.61034,0.222193
23.3,-1.60484,0.21356
23.4,-1.59935,0.205025
23.5,-1.59386,0.196589
23.6,-1.58837,0.188251
23.7,-1.58288,0.18001
23.8,-1.57739,0.171864
23.9,-1.57191,0.163815
24,-1.56642,0.155861
24.1,-1.56094,0.148001
24.2,-1.55546,0.140235
24.3,-1.54998,0.132562
24.4,-1.5445,0.124982
24.5,-1.53902,0.117494
24.6,-1.53355,0.110097
24.7,-1.52807,0.102791
24.8,-1.52259,0.0955759
24.9,-1.51712,0.0884501
25,-1.51164,0.0814135
25.1,-1.50616,0.0744654
25.2,-1.50069,0.0676052
25.3,-1.49521,0.0608326
25.4,-1.48973,0.0541468
25.5,-1.48425,0.0475474
25.6,-1.47878,0.0410337
25.7,-1.47329,0.0346054
25.8,-1.46781,0.0282617
25.9,-1.46233,0.0220022
26,-1.45684,0.0158265
26.1,-1.45136,0.00973384
26.2,-1.44587,0.00372387
26.3,-1.44037,-0.00220398
26.4,-1.43488,-0.00805019
26.5,-1.42938,-0.0138153
26.6,-1.42388,-0.0194997
26.7,-1.41838,-0.025104
26.8,-1.41287,-0.0306286
26.9,-1.40736,-0.036074
27,-1.40185,-0.0414407
27.1,-1.39633,-0.0467292
27.2,-1.3908,-0.0519398
27.3,-1.38527,-0.0570732
27.4,-1.37974,-0.0621296
27.5,-1.3742,-0.0671096
27.6,-1.36866,-0.0720137
27.7,-1.3631,-0.0768422
27.8,-1.35755,-0.0815955
27.9,-1.35198,-0.0862742
28,-1.34641,-0.0908786
28.1,-1.34083,-0.0954091
28.2,-1.33525,-0.0998662
28.3,-1.32965,-0.10425
28.4,-1.32405,-0.108562
28.5,-1.31844,-0.112801
28.6,-1.31282,-0.116968
28.7,-1.30718,-0.121064
28.8,-1.30154,-0.125088
28.9,-1.29589,-0.129042
29,-1.29023,-0.132926
29.1,-1.28455,-0.136739
29.2,-1.27887,-0.140483
29.3,-1.27317,-0.144158
29.4,-1.26745,-0.147763
29.5,-1.26173,-0.1513
29.6,-1.25599,-0.154768
29.7,-1.25023,-0.158169
29.8,-1.24446,-0.161501
29.9,-1.23867,-0.164767
30,-1.23287,-0.167965
30.1,-1.22704,-0.171096
30.2,-1.2212,-0.174161
30.3,-1.21534,-0.17716
30.4,-1.20947,-0.180092
30.5,-1.20356,-0.182959
30.6,-1.19764,-0.18576
30.7,-1.1917,-0.188496
30.8,-1.18573,-0.191167
30.9,-1.17974,-0.193773
31,-1.17372,-0.196315
31.1,-1.16768,-0.198792
31.2,-1.16161,-0.201204
31.3,-1.1555,-0.203553
31.4,-1.14937,-0.205838
31.5,-1.14321,-0.208059
31.6,-1.13702,-0.210217
31.7,-1.13079,-0.212311
31.8,-1.12453,-0.214342
31.9,-1.11823,-0.21631
32,-1.11189,-0.218215
32.1,-1.10551,-0.220056
32.2,-1.09909,-0.221835
32.3,-1.09262,-0.223551
32.4,-1.08611,-0.225203
32.5,-1.07955,-0.226793
32.6,-1.07294,-0.228321
32.7,-1.06628,-0.229785
32.8,-1.05957,-0.231186
32.9,-1.05279,-0.232525
33,-1.04596,-0.2338
33.1,-1.03906,-0.235013
33.2,-1.0321,-0.236162
33.3,-1.02507,-0.237247
33.4,-1.01796,-0.238269
33.5,-1.01078,-0.239227
33.6,-1.00352,-0.240122
33.7,-0.996171,-0.240952
33.8,-0.988736,-0.241717
33.9,-0.981208,-0.242417
34,-0.973582,-0.243052
34.1,-0.965852,-0.243622
34.2,-0.958013,-0.244125
34.3,-0.950059,-0.244562
34.4,-0.941983,-0.244931
34.5,-0.933778,-0.245233
34.6,-0.925437,-0.245466
34.7,-0.916952,-0.24563
34.8,-0.908314,-0.245725
34.9,-0.899514,-0.245748
35,-0.890543,-0.2457
35.1,-0.881388,-0.245579
35.2,-0.872039,-0.245384
35.3,-0.862483,-0.245114
35.4,-0.852707,-0.244768
35.5,-0.842695,-0.244345
35.6,-0.832431,-0.243842
35.7,-0.821899,-0.243258
35.8,-0.811078,-0.242592
35.9,-0.799949,-0.241842
36,-0.788487,-0.241005
36.1,-0.77667,-0.240078
36.2,-0.764468,-0.239061
36.3,-0.751852,-0.237949
36.4,-0.738789,-0.236741
36.5,-0.725243,-0.235432
36.6,-0.711174,-0.234019
36.7,-0.696536,-0.232498
36.8,-0.681281,-0.230866
36.9,-0.665353,-0.229117
37,-0.648693,-0.227246
37.1,-0.631231,-0.225248
