t,u,v
94.7,-1.87786,1.19269
94.8,-1.90989,1.17543
94.9,-1.93297,1.1581
95,-1.94902,1.14076
95.1,-1.95964,1.12343
95.2,-1.96613,1.10617
95.3,-1.96951,1.08899
95.4,-1.97055,1.07191
95.5,-1.96984,1.05494
95.6,-1.96784,1.0381
95.7,-1.96487,1.0214
95.8,-1.96119,1.00482
95.9,-1.95697,0.988388
96,-1.95237,0.972096
96.1,-1.94747,0.955946
96.2,-1.94236,0.93994
96.3,-1.93708,0.924079
96.4,-1.93169,0.908362
96.5,-1.92621,0.892788
96.6,-1.92067,0.877359
96.7,-1.91508,0.862072
96.8,-1.90945,0.846928
96.9,-1.90381,0.831925
97,-1.89814,0.817063
97.1,-1.89247,0.802341
97.2,-1.88679,0.787759
97.3,-1.8811,0.773314
97.4,-1.87541,0.759008
97.5,-1.86973,0.744838
97.6,-1.86404,0.730803
97.7,-1.85836,0.716904
97.8,-1.85268,0.703138
97.9,-1.84701,0.689506
98,-1.84134,0.676005
98.1,-1.83567,0.662637
98.2,-1.83001,0.649398
98.3,-1.82435,0.636289
98.4,-1.8187,0.623309
98.5,-1.81305,0.610456
98.6,-1.80741,0.597731
98.7,-1.80178,0.585132
98.8,-1.79614,0.572658
98.9,-1.79052,0.560308
99,-1.7849,0.548082
99.1,-1.77928,0.535979
99.2,-1.77367,0.523997
99.3,-1.76807,0.512137
99.4,-1.76246,0.500398
99.5,-1.75687,0.488777
99.6,-1.75128,0.477276
99.7,-1.74569,0.465892
99.8,-1.74011,0.454626
99.9,-1.73453,0.443476
100,-1.72896,0.432441
100.1,-1.72339,0.421521
100.2,-1.71783,0.410715
100.3,-1.71226,0.400023
100.4,-1.70671,0.389443
100.5,-1.70116,0.378975
100.6,-1.69561,0.368618
100.7,-1.69006,0.358371
100.8,-1.68452,0.348234
100.9,-1.67899,0.338205
101,-1.67346,0.328285
101.1,-1.66793,0.318472
101.2,-1.6624,0.308766
101.3,-1.65688,0.299165
101.4,-1.65136,0.28967
101.5,-1.64584,0.28028
101.6,-1.64033,0.270993
101.7,-1.63482,0.261809
101.8,-1.62931,0.252728
101.9,-1.6238,0.243749
102,-1.6183,0.234871
102.1,-1.6128,0.226094
102.2,-1.60731,0.217416
102.3,-1.60181,0.208838
102.4,-1.59632,0.200358
102.5,-1.59083,0.191976
102.6,-1.58534,0.183691
102.7,-1.57985,0.175503
102.8,-1.57436,0.167411
102.9,-1.56888,0.159414
103,-1.5634,0.151512
103.1,-1.55792,0.143704
103.2,-1.55244,0.135989
103.3,-1.54696,0.128367
103.4,-1.54148,0.120838
103.5,-1.536,0.113401
103.6,-1.53052,0.106054
103.7,-1.52505,0.0987984
103.8,-1.51957,0.0916324
103.9,-1.5141,0.0845559
104,-1.50862,0.0775682
104.1,-1.50314,0.0706687
104.2,-1.49767,0.0638569
104.3,-1.49219,0.0571323
104.4,-1.48671,0.0504942
104.5,-1.48123,0.0439422
104.6,-1.47575,0.0374757
104.7,-1.47027,0.0310941
104.8,-1.46479,0.024797
104.9,-1.4593,0.0185838
105,-1.45382,0.0124539
105.1,-1.44833,0.00640699
105.2,-1.44284,0.000442399
105.3,-1.43734,-0.00544033
105.4,-1.43185,-0.0112417
105.5,-1.42635,-0.0169622
105.6,-1.42085,-0.0226024
105.7,-1.41534,-0.0281626
105.8,-1.40983,-0.0336435
105.9,-1.40432,-0.0390454
106,-1.3988,-0.0443689
106.1,-1.39328,-0.0496143
106.2,-1.38775,-0.0547823
106.3,-1.38222,-0.0598731
106.4,-1.37668,-0.0648873
106.5,-1.37114,-0.0698254
106.6,-1.36559,-0.0746877
106.7,-1.36004,-0.0794746
106.8,-1.35448,-0.0841867
106.9,-1.34891,-0.0888243
107,-1.34333,-0.0933879
107.1,-1.33775,-0.0978779
107.2,-1.33216,-0.102295
107.3,-1.32656,-0.106638
107.4,-1.32095,-0.11091
107.5,-1.31534,-0.115109
107.6,-1.30971,-0.119237
107.7,-1.30407,-0.123294
107.8,-1.29843,-0.127279
107.9,-1.29277,-0.131194
108,-1.2871,-0.135039
108.1,-1.28142,-0.138814
108.2,-1.27572,-0.142519
108.3,-1.27002,-0.146156
108.4,-1.2643,-0.149723
108.5,-1.25856,-0.153222
108.6,-1.25281,-0.156653
108.7,-1.24705,-0.160016
108.8,-1.24127,-0.163312
108.9,-1.23547,-0.16654
109,-1.22966,-0.169701
109.1,-1.22382,-0.172796
109.2,-1.21797,-0.175824
109.3,-1.2121,-0.178786
109.4,-1.20621,-0.181682
109.5,-1.2003,-0.184513
109.6,-1.19437,-0.187278
109.7,-1.18841,-0.189978
109.8,-1.18243,-0.192613
109.9,-1.17642,-0.195184
110,-1.17039,-0.19769
110.1,-1.16433,-0.200131
110.2,-1.15824,-0.202509
110.3,-1.15213,-0.204822
110.4,-1.14598,-0.207072
110.5,-1.1398,-0.209258
110.6,-1.13359,-0.211381
110.7,-1.12734,-0.21344
110.8,-1.12106,-0.215436
110.9,-1.11473,-0.217369
111,-1.10837,-0.219239
111.1,-1.10197,-0.221046
111.2,-1.09553,-0.222789
111.3,-1.08903,-0.224471
111.4,-1.0825,-0.226089
111.5,-1.07591,-0.227644
111.6,-1.06927,-0.229137
111.7,-1.06258,-0.230566
111.8,-1.05583,-0.231933
111.9,-1.04903,-0.233236
112,-1.04216,-0.234477
112.1,-1.03523,-0.235654
112.2,-1.02823,-0.236768
112.3,-1.02115,-0.237819
112.4,-1.01401,-0.238806
112.5,-1.00678,-0.239729
112.6,-0.999474,-0.240588
112.7,-0.992079,-0.241382
112.8,-0.984594,-0.242111
112.9,-0.977012,-0.242776
113,-0.96933,-0.243375
113.1,-0.96154,-0.243908
113.2,-0.953638,-0.244375
113.3,-0.945618,-0.244774
113.4,-0.937471,-0.245106
113.5,-0.929192,-0.24537
113.6,-0.920773,-0.245566
113.7,-0.912205,-0.245691
113.8,-0.903479,-0.245746
113.9,-0.894585,-0.24573
114,-0.885514,-0.245642
114.1,-0.876254,-0.24548
114.2,-0.866792,-0.245245
114.3,-0.857116,-0.244933
114.4,-0.847212,-0.244544
114.5,-0.837063,-0.244077
114.6,-0.826653,-0.24353
114.7,-0.815964,-0.242901
114.8,-0.804976,-0.242189
114.9,-0.793666,-0.241391
115,-0.782011,-0.240505
115.1,-0.769985,-0.239528
115.2,-0.757559,-0.238459
115.3,-0.744701,-0.237295
115.4,-0.731376,-0.236031
115.5,-0.717546,-0.234665
115.6,-0.703169,-0.233193
115.7,-0.688197,-0.231611
115.8,-0.672578,-0.229915
115.9,-0.656254,-0.2281
116,-0.63916,-0.226159
116.1,-0.621225,-0.224088
116.2,-0.602367,-0.22188
116.3,-0.582496,-0.219528
116.4,-0.561511,-0.217023
116.5,-0.539298,-0.214357
116.6,-0.515728,-0.21152
116.7,-0.490657,-0.208501
116.8,-0.463922,-0.205288
116.9,-0.435339,-0.201868
117,-0.404698,-0.198225
117.1,-0.371764,-0.194343
117.2,-0.336271,-0.190203
117.3,-0.29792,-0.185783
117.4,-0.256372,-0.18106
117.5,-0.211251,-0.176008
117.6,-0.162137,-0.170596
117.7,-0.10857,-0.164791
117.8,-0.050051,-0.158557
117.9,0.013947,-0.151852
118,0.0839637,-0.144631
118.1,0.160522,-0.136846
118.2,0.244085,-0.128445
118.3,0.334991,-0.119372
118.4,0.433365,-0.109572
118.5,0.539014,-0.0989929
118.6,0.6513,-0.0875855
118.7,0.76903,-0.075312
118.8,0.890381,-0.0621492
118.9,1.01291,-0.0480931
119,1.1337,-0.0331635
119.1,1.24963,-0.0174047
119.2,1.35771,-0.00088459
119.3,1.4555,0.01631
119.4,1.54136,0.0340796
119.5,1.61457,0.0523196
119.6,1.67527,0.0709273
119.7,1.72428,0.0898071
119.8,1.76282,0.108874
119.9,1.79233,0.128054
120,1.81428,0.147287
120.1,1.83003,0.166523
120.2,1.84077,0.185722
120.3,1.84752,0.204852
120.4,1.85113,0.223889
120.5,1.85227,0.242814
120.6,1.85148,0.261612
120.7,1.84919,0.280271
120.8,1.84574,0.298784
120.9,1.84138,0.317144
121,1.83632,0.335347
121.1,1.8307,0.353388
121.2,1.82465,0.371266
121.3,1.81826,0.38898
121.4,1.81161,0.406527
121.5,1.80474,0.423907
121.6,1.7977,0.441121
121.7,1.79053,0.458167
121.8,1.78325,0.475047
121.9,1.77588,0.49176
122,1.76843,0.508307
122.1,1.76091,0.524689
122.2,1.75335,0.540906
122.3,1.74573,0.556958
122.4,1.73807,0.572847
122.5,1.73038,0.588574
122.6,1.72265,0.604138
122.7,1.71488,0.619542
122.8,1.70709,0.634784
122.9,1.69927,0.649868
123,1.69141,0.664792
123.1,1.68353,0.679558
123.2,1.67562,0.694167
123.3,1.66768,0.70862
123.4,1.65971,0.722916
123.5,1.65171,0.737058
123.6,1.64368,0.751045
123.7,1.63562,0.764879
123.8,1.62753,0.778561
123.9,1.61941,0.79209
124,1.61125,0.805468
124.1,1.60307,0.818695
124.2,1.59484,0.831772
124.3,1.58658,0.8447
124.4,1.57828,0.857479
124.5,1.56995,0.87011
124.6,1.56157,0.882594
124.7,1.55316,0.894931
124.8,1.5447,0.907122
124.9,1.53619,0.919168
125,1.52765,0.931068
125.1,1.51905,0.942824
125.2,1.5104,0.954436
125.3,1.50171,0.965905
125.4,1.49296,0.97723
125.5,1.48416,0.988413
125.6,1.4753,0.999454
125.7,1.46638,1.01035
125.8,1.4574,1.02111
125.9,1.44836,1.03173
126,1.43925,1.04221
126.1,1.43007,1.05255
126.2,1.42083,1.06274
126.3,1.4115,1.0728
126.4,1.4021,1.08272
126.5,1.39262,1.0925
126.6,1.38306,1.10214
126.7,1.37341,1.11165
126.8,1.36366,1.12101
126.9,1.35383,1.13024
127,1.34389,1.13932
127.1,1.33385,1.14828
127.2,1.3237,1.15709
127.3,1.31343,1.16576
127.4,1.30305,1.1743
127.5,1.29254,1.1827
127.6,1.2819,1.19096
127.7,1.27112,1.19908
127.8,1.2602,1.20706
127.9,1.24913,1.2149
128,1.23789,1.2226
128.1,1.22649,1.23017
128.2,1.21491,1.23759
128.3,1.20315,1.24487
128.4,1.19119,1.25201
128.5,1.17901,1.25901
128.6,1.16662,1.26586
128.7,1.15399,1.27257
128.8,1.14112,1.27913
128.9,1.12798,1.28555
129,1.11456,1.29182
129.1,1.10084,1.29794
129.2,1.08681,1.30391
129.3,1.07243,1.30972
129.4,1.05769,1.31538
129.5,1.04256,1.32089
129.6,1.02702,1.32623
129.7,1.01102,1.33142
129.8,0.994542,1.33644
129.9,0.977543,1.34129
130,0.959982,1.34597
130.1,0.941812,1.35047
130.2,0.922982,1.3548
130.3,0.903435,1.35894
130.4,0.883106,1.3629
130.5,0.861924,1.36666
130.6,0.839809,1.37022
130.7,0.816671,1.37357
130.8,0.792407,1.37671
130.9,0.766903,1.37963
131,0.740028,1.38231
131.1,0.711634,1.38475
131.2,0.681553,1.38693
131.3,0.649592,1.38885
131.4,0.61553,1.39048
131.5,0.579117,1.39181
131.6,0.540063,1.39281
131.7,0.498036,1.39348
131.8,0.452657,1.39379
131.9,0.403489,1.39369
132,0.350037,1.39318
132.1,0.291737,1.3922
132.2,0.227955,1.39071
132.3,0.157987,1.38868
132.4,0.0810709,1.38605
132.5,-0.0035946,1.38276
132.6,-0.0968059,1.37875
132.7,-0.199283,1.37395
132.8,-0.311556,1.36828
132.9,-0.433805,1.36168
133,-0.565651,1.35406
133.1,-0.705923,1.34538
133.2,-0.852451,1.33558
133.3,-1.00198,1.32465
133.4,-1.15032,1.31261
133.5,-1.29274,1.29951
133.6,-1.42467,1.28544
133.7,-1.54242,1.27052
133.8,-1.64368,1.25489
133.9,-1.72773,1.23869
134,-1.79524,1.22205
134.1,-1.84785,1.2051
134.2,-1.88771,1.18794
134.3,-1.91706,1.17066
134.4,-1.93803,1.15332
134.5,-1.95243,1.13597
134.6,-1.9618,1.11866
134.7,-1.96734,1.10142
134.8,-1.97,1.08427
134.9,-1.9705,1.06722
135,-1.9694,1.05029
135.1,-1.9671,1.03348
135.2,-1.96392,1.01681
135.3,-1.96007,1.00027
135.4,-1.95574,0.983878
135.5,-1.95104,0.967625
135.6,-1.94608,0.951515
135.7,-1.94091,0.935549
135.8,-1.9356,0.919728
135.9,-1.93018,0.90405
136,-1.92469,0.888517
136.1,-1.91913,0.873126
136.2,-1.91353,0.857879
136.3,-1.9079,0.842774
136.4,-1.90225,0.82781
136.5,-1.89658,0.812987
136.6,-1.8909,0.798304
136.7,-1.88522,0.783759
136.8,-1.87953,0.769353
136.9,-1.87385,0.755084
137,-1.86816,0.740952
137.1,-1.86248,0.726955
137.2,-1.85679,0.713092
137.3,-1.85112,0.699363
137.4,-1.84544,0.685767
137.5,-1.83977,0.672304
137.6,-1.83411,0.658971
137.7,-1.82845,0.645768
137.8,-1.82279,0.632695
137.9,-1.81714,0.61975
138,-1.8115,0.606932
138.1,-1.80586,0.594242
138.2,-1.80022,0.581677
138.3,-1.79459,0.569238
138.4,-1.78897,0.556922
138.5,-1.78335,0.54473
138.6,-1.77773,0.532661
138.7,-1.77212,0.520713
138.8,-1.76652,0.508886
138.9,-1.76092,0.497179
139,-1.75533,0.485592
139.1,-1.74974,0.474123
139.2,-1.74415,0.462772
139.3,-1.73857,0.451537
139.4,-1.73299,0.440419
139.5,-1.72742,0.429416
139.6,-1.72185,0.418528
139.7,-1.71629,0.407754
139.8,-1.71073,0.397093
139.9,-1.70518,0.386543
140,-1.69963,0.376106
140.1,-1.69408,0.365779
140.2,-1.68854,0.355563
140.3,-1.683,0.345456
140.4,-1.67746,0.335457
140.5,-1.67193,0.325566
140.6,-1.6664,0.315783
140.7,-1.66088,0.306106
140.8,-1.65535,0.296535
140.9,-1.64983,0.287068
141,-1.64432,0.277707
141.1,-1.63881,0.268449
141.2,-1.6333,0.259293
141.3,-1.62779,0.250241
141.4,-1.62229,0.241289
141.5,-1.61678,0.232439
141.6,-1.61129,0.223689
141.7,-1.60579,0.215039
141.8,-1.60029,0.206488
141.9,-1.5948,0.198035
142,-1.58931,0.18968
142.1,-1.58382,0.181422
142.2,-1.57834,0.17326
142.3,-1.57285,0.165194
142.4,-1.56737,0.157224
142.5,-1.56189,0.149348
142.6,-1.5564,0.141566
142.7,-1.55092,0.133877
142.8,-1.54545,0.126281
142.9,-1.53997,0.118777
143,-1.53449,0.111364
143.1,-1.52901,0.104043
143.2,-1.52354,0.0968121
143.3,-1.51806,0.0896709
143.4,-1.51258,0.0826189
143.5,-1.50711,0.0756556
143.6,-1.50163,0.0687804
143.7,-1.49615,0.0619927
143.8,-1.49068,0.055292
143.9,-1.4852,0.0486777
144,-1.47972,0.0421493
144.1,-1.47424,0.0357063
144.2,-1.46876,0.0293481
144.3,-1.46327,0.0230742
144.4,-1.45779,0.016884
144.5,-1.4523,0.0107771
144.6,-1.44681,0.00475297
144.7,-1.44132,-0.00118898
144.8,-1.43583,-0.00704921
144.9,-1.43033,-0.0128282
145,-1.42483,-0.0185265
145.1,-1.41933,-0.0241446
145.2,-1.41382,-0.0296829
145.3,-1.40831,-0.0351419
145.4,-1.4028,-0.0405221
145.5,-1.39728,-0.045824
145.6,-1.39175,-0.051048
145.7,-1.38623,-0.0561947
145.8,-1.38069,-0.0612643
145.9,-1.37516,-0.0662575
146,-1.36961,-0.0711746
146.1,-1.36406,-0.076016
146.2,-1.3585,-0.0807823
146.3,-1.35294,-0.0854738
146.4,-1.34737,-0.0900909
146.5,-1.34179,-0.0946342
146.6,-1.33621,-0.0991039
146.7,-1.33062,-0.1035
146.8,-1.32501,-0.107824
146.9,-1.3194,-0.112076
147,-1.31378,-0.116255
147.1,-1.30816,-0.120364
147.2,-1.30252,-0.1244
147.3,-1.29687,-0.128366
147.4,-1.2912,-0.132262
147.5,-1.28553,-0.136088
147.6,-1.27985,-0.139843
147.7,-1.27415,-0.14353
147.8,-1.26844,-0.147147
147.9,-1.26271,-0.150696
148,-1.25698,-0.154176
148.1,-1.25122,-0.157588
148.2,-1.24545,-0.160932
148.3,-1.23967,-0.164209
148.4,-1.23387,-0.167419
148.5,-1.22805,-0.170562
148.6,-1.22221,-0.173638
148.7,-1.21636,-0.176648
148.8,-1.21048,-0.179592
148.9,-1.20458,-0.18247
149,-1.19866,-0.185282
149.1,-1.19272,-0.18803
149.2,-1.18676,-0.190712
149.3,-1.18077,-0.193329
149.4,-1.17476,-0.195882
149.5,-1.16872,-0.19837
149.6,-1.16265,-0.200794
149.7,-1.15656,-0.203153
149.8,-1.15043,-0.205449
149.9,-1.14428,-0.207681
150,-1.13809,-0.20985
150.1,-1.13187,-0.211955
150.2,-1.12561,-0.213997
150.3,-1.11931,-0.215976
150.4,-1.11298,-0.217891
150.5,-1.10661,-0.219744
150.6,-1.1002,-0.221533
150.7,-1.09374,-0.22326
150.8,-1.08724,-0.224923
150.9,-1.08069,-0.226524
151,-1.07408,-0.228062
151.1,-1.06743,-0.229537
151.2,-1.06073,-0.23095
151.3,-1.05396,-0.232299
151.4,-1.04714,-0.233585
151.5,-1.04025,-0.234808
151.6,-1.0333,-0.235968
151.7,-1.02628,-0.237065
151.8,-1.01919,-0.238098
151.9,-1.01202,-0.239067
152,-1.00477,-0.239972
152.1,-0.997442,-0.240813
152.2,-0.990023,-0.24159
152.3,-0.982512,-0.242301
152.4,-0.974903,-0.242948
152.5,-0.967191,-0.243529
152.6,-0.959371,-0.244043
152.7,-0.951437,-0.244492
152.8,-0.943383,-0.244873
152.9,-0.935201,-0.245186
153,-0.926884,-0.245431
153.1,-0.918424,-0.245607
153.2,-0.909813,-0.245713
153.3,-0.901042,-0.245749
153.4,-0.8921,-0.245713
153.5,-0.882978,-0.245605
153.6,-0.873664,-0.245423
153.7,-0.864144,-0.245166
153.8,-0.854407,-0.244833
153.9,-0.844436,-0.244423
154,-0.834217,-0.243934
154.1,-0.823733,-0.243365
154.2,-0.812963,-0.242713
154.3,-0.801888,-0.241977
154.4,-0.790486,-0.241155
154.5,-0.778731,-0.240244
154.6,-0.766598,-0.239243
154.7,-0.754056,-0.238148
154.8,-0.741072,-0.236956
154.9,-0.727612,-0.235664
155,-0.713636,-0.23427
155.1,-0.699099,-0.232768
155.2,-0.683954,-0.231155
155.3,-0.668146,-0.229426
155.4,-0.651617,-0.227577
155.5,-0.634298,-0.225601
155.6,-0.616117,-0.223493
155.7,-0.596989,-0.221246
155.8,-0.576821,-0.218852
155.9,-0.555509,-0.216304
156,-0.532935,-0.213591
156.1,-0.508967,-0.210705
156.2,-0.483454,-0.207634
156.3,-0.456228,-0.204366
156.4,-0.427099,-0.200886
156.5,-0.39585,-0.197179
156.6,-0.362238,-0.193227
156.7,-0.325988,-0.189012
156.8,-0.28679,-0.184511
156.9,-0.244296,-0.1797
157,-0.198116,-0.174551
157.1,-0.147821,-0.169035
157.2,-0.0929393,-0.163115
157.3,-0.0329623,-0.156755
157.4,0.0326426,-0.149913
157.5,0.104414,-0.142542
157.6,0.182863,-0.134592
157.7,0.268425,-0.126011
157.8,0.361391,-0.116743
157.9,0.461808,-0.106733
158,0.569374,-0.0959298
158.1,0.683307,-0.0842867
158.2,0.802246,-0.0717694
158.3,0.92419,-0.0583595
158.4,1.04655,-0.0440594
158.5,1.16631,-0.0288955
158.6,1.28035,-0.012919
158.7,1.38581,0.0037966
158.8,1.48043,0.0211601
158.9,1.56283,0.03907
159,1.63255,0.0574215
159.1,1.68992,0.0761135
159.2,1.7359,0.0950529
159.3,1.7718,0.114158
159.4,1.79909,0.133358
159.5,1.81919,0.152597
159.6,1.83345,0.171826
159.7,1.84299,0.191009
159.8,1.8488,0.210116
159.9,1.85166,0.229123
160,1.85222,0.248014
